NUTRITION INFORMATION JANUARY 2021,,,,,,,,,,,,,,
,Large (24 oz),205,24,0,0,14,126,0,44,0,0,8,0,0
,Regular (16oz),146,0,0,0,49,36,0,34,0,0,0,0,0
Passion Fruit Slush,Large (24 oz),178,0,0,0,59,44,0,71,0,0,0,0,0
Peach Mango Slush,Regular (16oz),209,0,0,0,46,51,0,40,0,0,3,0,0
,Large (24 oz),260,1,0,0,57,63,1,50,0,0,3,0,0
Peach Slush,Regular (16oz),185,0,0,0,47,43,0,42,0,0,0,0,0
,Large (24 oz),264,1,0,0,70,62,1,59,0,0,0,0,0
Pineapple Slush,Regular (16oz),218,32,0,0,47,52,1,50,0,0,0,0,41
,Large (24 oz),323,43,0,0,70,78,1,74,0,0,0,0,54
Strawberry Cream Slush,Regular (16oz),313,81,12,48,769,47,3,45,3,0,52,1,300
,Large (24 oz),378,130,12,48,780,64,5,61,4,0,70,2,480
Strawberry Slush,Regular (16oz),139,71,0,0,35,34,1,37,2,0,26,1,264
,Large (24 oz),183,84,0,0,47,45,2,49,3,0,31,1,312
Strawberry Watermelon Slush,Regular (16oz),130,77,0,0,13,34,2,30,2,0,24,2,411
,Large (24 oz),174,113,0,0,20,45,3,41,2,0,36,3,589
Taro Slush,Regular (16oz),362,0,12,0,221,64,0,17,0,0,0,0,0
,Large (24 oz),476,0,16,0,296,84,0,25,0,0,0,0,0
Thai Tea Slush,Regular (16oz),334,0,9,27,30,55,2,54,1,0,72,0,0
,Large (24 oz),462,0,13,41,46,73,3,72,1,0,108,0,0
Watermelon Cube Slush,Regular (16oz),206,33,1,0,4,53,2,45,3,0,0,4,476
,Large (24 oz),231,40,1,0,5,60,2,50,4,0,0,5,572
Watermelon Pineapple Slush,Regular (16oz),142,44,0,0,17,35,1,30,1,0,0,2,212
,Large (24 oz),195,70,0,0,25,49,2,40,1,0,0,2,296
Watermelon Slush,Regular (16oz),147,18,0,0,2,38,1,33,2,0,0,2,257
,Large (24 oz),209,24,1,0,3,53,1,47,2,0,0,3,343
Yogurt Slush,Regular (16oz),203,0,0,0,41,50,0,49,0,0,0,0,0
,Large (24 oz),241,0,0,0,51,59,0,58,0,0,0,0,0
Yuzu Honey Slush,Regular (16oz),96,1350,0,0,17,41,0,21,0,0,2,0,0
,Large (24 oz),129,1650,0,0,21,57,0,28,0,0,3,0,0
Frappe,,,,,,,,,,,,,,
Caramel Frappe,Regular (16oz),343,5,12,5,215,52,0,43,3,0,0,0,0
,Large (24 oz),466,5,17,5,289,67,0,55,5,0,0,0,0
Chai Frappe,Regular (16oz),452,1,19,57,246,61,0,56,9,1,281,0,0
,Large (24 oz),690,1,29,83,373,94,0,86,14,2,405,0,0
Green Tea Frappe,Regular (16oz),440,2,16,57,204,65,2,59,9,3,338,0,0
,Large (24 oz),586,2,22,77,272,86,3,79,12,3,450,0,0
Green Tea w/ Red Bean Frappe,Regular (16oz),409,2,16,56,210,58,2,51,9,3,333,0,0
,Large (24 oz),514,2,18,64,252,77,3,69,12,3,400,0,0
Hazelnut Frappe,Regular (16oz),418,1,17,61,176,58,0,54,7,2,315,0,0
,Large (24 oz),585,1,24,87,249,79,0,75,10,2,439,0,0
Mint Choco Frappe,Regular (16oz),643,1,32,61,339,79,1,63,12,2,315,0,0
,Large (24 oz),881,1,44,87,453,107,2,87,16,2,439,0,0
Mocha Frappe,Regular (16oz),367,0,17,0,221,43,0,34,4,0,0,0,0
,Large (24 oz),611,0,28,0,369,72,0,57,6,0,0,0,0
Oreo Coﬀee Frappe,Regular (16oz),540,1,19,57,222,88,0,81,7,1,281,0,0
,Large (24 oz),749,1,27,83,315,118,0,109,10,2,405,0,0
Pecan Frappe,Regular (16oz),540,1,27,61,255,67,0,58,8,2,318,0,16
,Large (24 oz),744,1,36,87,359,94,0,82,11,2,440,0,9
Pistachio Frappe,Regular (16oz),458,1,24,46,196,54,0,45,6,1,225,0,5
,Large (24 oz),624,1,33,63,269,74,0,61,9,1,313,0,8
Pistachio Oreo Frappe,Regular (16oz),628,1,32,51,331,79,0,60,7,1,245,0,5
,Large (24 oz),783,1,40,63,404,99,0,75,10,1,313,0,5
Vanilla Coﬀee Frappe,Regular (16oz),486,1,17,61,176,78,0,76,7,2,315,0,0
,Large (24 oz),671,1,24,87,249,105,0,102,10,2,439,0,0
Vienna Frappe,Regular (16oz),247,1,10,30,118,34,0,31,4,1,168,0,46
,Large (24 oz),421,1,20,57,217,53,0,48,7,1,296,0,63
Shake,,,,,,,,,,,,,,
Banana Shake,Regular (16oz),417,1,15,34,260,67,0,57,5,1,191,0,0
,Large (24 oz),646,1,24,61,394,101,0,86,8,2,315,0,0
Choco Oreo Shake,Regular (16oz),519,1,21,61,274,74,0,61,8,2,315,0,0
,Large (24 oz),710,1,29,87,363,101,0,84,11,2,439,0,0
Chocolate Banana Shake,Regular (16oz),382,1,12,38,183,62,0,53,6,2,225,0,0
,Large (24 oz),482,1,14,42,229,82,0,70,7,2,259,0,0
Chocolate Shake,Regular (16oz),450,1,16,57,185,68,0,60,6,1,281,0,0
,Large (24 oz),642,1,22,80,261,98,0,86,9,2,391,0,0
Coconut Oreo Shake,Regular (16oz),566,1,26,61,284,76,0,62,9,2,612,0,69
,Large (24 oz),786,1,35,83,375,107,0,88,11,2,851,0,104
Coconut Shake,Regular (16oz),472,1,21,57,192,63,0,56,7,1,616,0,78
,Large (24 oz),689,1,31,83,279,93,1,81,10,2,888,0,112
Cookies & Cream Shake,Regular (16oz),450,1,17,48,201,71,0,64,6,1,244,0,0
,Large (24 oz),586,1,22,63,260,92,0,83,8,1,313,0,0
Honeydew Shake,Regular (16oz),405,1,14,34,137,65,0,54,6,1,191,0,0
,Large (24 oz),630,1,23,61,224,98,0,81,9,2,315,0,0
Mango Shake,Regular (16oz),405,1,16,57,183,58,0,48,6,1,281,0,0
,Large (24 oz),592,1,23,83,267,85,0,69,9,2,405,0,0
Peach Shake,Regular (16oz),388,1,16,57,193,53,0,50,6,1,281,0,0
,Large (24 oz),562,1,23,83,278,76,0,71,9,2,405,0,0
Pineapple Shake,Regular (16oz),392,1,16,57,195,54,0,52,6,1,281,0,0
,Large (24 oz),567,1,23,83,281,78,0,75,9,2,405,0,0
Strawberry Oreo Shake,Regular (16oz),482,1,21,61,280,65,0,59,9,2,315,0,0
,Large (24 oz),667,1,29,87,374,90,0,84,13,2,439,0,0
Strawberry Shake,Regular (16oz),386,1,17,61,199,50,0,51,9,2,315,0,0
,Large (24 oz),560,1,24,87,284,73,0,75,12,2,439,0,0
Taro Oreo Shake,Regular (16oz),497,1,22,38,296,73,0,34,6,2,225,0,0
,Large (24 oz),605,1,26,42,328,92,0,29,6,2,259,0,0
Taro Shake,Regular (16oz),466,1,20,38,249,69,0,27,5,2,225,0,0
,Large (24 oz),631,1,26,42,328,98,0,36,6,2,259,0,0
Vanilla Shake,Regular (16oz),468,1,16,57,161,76,0,75,6,1,281,0,0
,Large (24 oz),653,1,23,83,234,103,0,101,9,2,405,0,0
Juice,,,,,,,,,,,,,,
ABC Juice,Small (12oz),143,6,1,0,82,35,5,23,2,0,14,1,275
,Regular (16oz),190,8,1,0,109,47,7,30,3,0,19,1,367
,Large (24 oz),286,12,2,0,163,70,10,46,5,0,29,1,550
An[oxidant Juice,Small (12oz),69,48,0,0,64,15,2,12,1,0,31,0,414
,Regular (16oz),91,67,0,0,94,20,3,16,2,0,52,0,613
,Large (24 oz),127,97,0,0,123,27,3,22,2,0,65,0,844
Carrot Juice,Small (12oz),105,5,0,0,255,21,2,20,2,0,60,0,810
,Regular (16oz),140,7,0,0,340,28,2,26,2,0,80,0,1080
,Large (24 oz),210,11,0,0,510,42,3,39,3,0,120,1,1620
Detox Juice,Small (12oz),89,10,0,0,50,23,4,16,1,0,24,0,289
,Regular (16oz),112,15,1,0,68,28,6,20,2,0,33,0,386
,Large (24 oz),161,19,1,0,96,41,8,29,2,0,46,1,556
Energy Juice,Small (12oz),122,53,1,0,36,31,5,20,2,0,52,0,485
,Regular (16oz),163,56,1,0,41,42,7,27,2,0,60,0,600
,Large (24 oz),224,81,1,0,53,57,10,38,3,0,79,0,794
Green Juice,Small (12oz),70,108,0,0,77,17,3,7,2,0,72,0,463
,Regular (16oz),79,116,1,0,104,19,4,8,2,0,82,1,555
,Large (24 oz),92,131,1,0,131,22,5,10,2,0,92,1,654
Immune Juice,Small (12oz),77,32,0,0,55,20,4,12,2,0,63,0,387
,Regular (16oz),106,34,1,0,61,27,6,18,2,0,69,0,462
,Large (24 oz),149,37,1,0,90,38,8,26,2,0,88,0,631
Mango Juice,Small (12oz),74,29,0,0,6,18,1,15,1,0,7,0,134
,Regular (16oz),120,41,0,0,11,30,2,24,1,0,10,0,192
,Large (24 oz),170,56,1,0,16,42,2,34,1,0,14,0,259
Orange Juice,Small (12oz),124,131,0,0,21,27,1,27,2,0,0,0,0
,Regular (16oz),165,175,1,0,28,36,1,36,2,0,0,0,0
,Large (24 oz),248,263,1,0,43,55,1,55,4,0,0,0,0
Orange Carrot Juice,Small (12oz),,,,,,,,,,,,,
,Regular (16oz),,,,,,,,,,,,,
,Large (24 oz),,,,,,,,,,,,,
Rejuvenate Juice,Small (12oz),86,5,0,0,28,22,4,14,1,0,10,0,231
,Regular (16oz),122,7,1,0,37,31,5,21,1,0,15,0,334
,Large (24 oz),179,11,1,0,53,46,8,32,2,0,23,1,484
Strawberry Juice,Small (12oz),57,53,0,0,8,13,2,12,1,0,0,0,144
,Regular (16oz),119,132,0,0,11,27,4,23,3,0,0,0,360
,Large (24 oz),166,178,0,0,17,38,5,32,4,0,0,0,486
Vitamin-C Juice,Small (12oz),137,104,0,0,1,33,4,22,2,0,0,0,592
,Regular (16oz),194,150,0,0,1,46,5,32,2,0,0,0,839
,Large (24 oz),283,205,1,0,1,68,8,45,3,0,0,0,1218
Watermelon Juice,Small (12oz),72,12,0,0,2,19,1,16,1,0,0,2,171
,Regular (16oz),95,18,0,0,2,25,1,20,2,0,0,2,257
,Large (24 oz),144,24,1,0,3,37,1,31,2,0,0,3,343
Acai Bowl,,,,,,,,,,,,,,
Amazing Almond Bowl,Large (24 oz),685,15,28,0,64,100,17,56,13,0,99,2,407
Dragon Fruit Bowl,Large (24 oz),553,86,11,0,31,113,17,56,8,0,27,2,1132
Fusion Bowl,Large (24 oz),516,57,12,0,33,99,15,53,7,0,34,2,647
Green Bowl,Large (24 oz),604,104,14,0,123,119,15,63,13,1,306,4,1248
Original Acai Bowl,Large (24 oz),495,17,12,0,33,94,12,56,6,0,45,2,489
PB Acai Bowl,Large (24 oz),813,15,39,0,285,103,17,59,17,0,48,2,406
Hot Beverages,,,,,,,,,,,,,,
Almond Milk Tea LaOe,Regular (16oz),188,0,5,1,108,35,0,28,5,2,270,0,7
,Large (24 oz),246,0,6,1,143,45,0,36,7,3,360,0,9
Caramel Macchiato,Regular (16oz),247,4,9,37,161,34,0,33,8,4,310,0,42
,Large (24 oz),340,6,12,46,207,51,0,48,11,5,389,0,63
Chai Tea LaOe,Regular (16oz),184,1,9,18,120,21,0,18,5,2,154,0,0
,Large (24 oz),263,2,13,22,167,30,0,26,7,2,188,0,0
Earl Grey Tea LaOe,Regular (16oz),271,2,10,24,102,40,0,36,5,3,203,0,0
,Large (24 oz),363,2,14,32,139,52,0,45,7,3,270,0,0
Green Tea LaOe,Regular (16oz),257,3,10,39,158,33,1,31,9,4,330,0,0
,Large (24 oz),316,3,12,44,183,44,2,40,11,5,375,0,0
Hazelnut Milk Tea,Regular (16oz),294,0,12,0,78,48,1,34,1,0,11,0,235
,Large (24 oz),449,0,17,0,117,73,1,52,1,0,17,0,353
Hot Chocolate,Regular (16oz),318,3,15,49,198,39,1,36,10,4,338,0,0
,Large (24 oz),386,3,17,56,239,50,1,45,12,5,394,0,0
Jasmine Milk Tea LaOe,Regular (16oz),283,0,10,0,117,48,1,33,1,0,11,0,235
,Large (24 oz),401,0,15,0,152,67,1,46,1,0,18,0,382
Lavender Milk Tea LaOe,Regular (16oz),286,1,12,21,121,40,0,25,6,2,180,0,0
,Large (24 oz),394,2,16,28,164,55,1,35,8,3,240,0,0
Milk Tea LaOe,Regular (16oz),240,12,10,28,112,32,0,27,7,3,210,0,0
,Large (24 oz),296,12,12,32,128,40,0,33,8,3,240,0,0
Misutgaru LaOe,Regular (16oz),154,0,1,0,0,31,1,8,4,0,0,0,0
,Large (24 oz),195,0,2,0,0,39,2,11,5,0,0,0,0
Taro Milk Tea LaOe,Regular (16oz),287,1,12,20,163,44,0,15,5,2,169,0,0
,Large (24 oz),379,2,15,28,208,59,0,25,6,3,236,0,0
Vanilla Chai Milk Tea,Regular (16oz),258,0,9,0,127,43,1,32,4,0,8,0,176
,Large (24 oz),372,0,13,0,184,62,1,48,5,0,11,0,235
Yuzu Honey Tea,Regular (16oz),120,300,0,0,30,30,0,24,0,0,0,0,0
,Large (24 oz),150,375,0,0,38,38,0,30,0,0,0,0,0
Iced Coﬀee,,,,,,,,,,,,,,
Boba Coﬀee,Regular (16oz),248,0,57,0,113,36,5,25,2,0,0,0,0
,Large (24 oz),347,0,80,0,158,51,7,35,3,0,0,0,0
Iced Café LaOe,Regular (16oz),145,2,8,31,121,12,0,11,7,3,277,0,63
,Large (24 oz),208,3,12,44,173,18,0,16,10,5,397,0,95
Iced Café Mocha,Regular (16oz),221,2,8,25,130,33,1,30,6,3,220,0,42
,Large (24 oz),308,2,12,35,188,45,1,41,9,4,313,0,56
Iced Caramel Macchiato,Regular (16oz),190,4,7,27,127,28,0,26,6,3,210,0,0
,Large (24 oz),273,5,9,38,180,40,0,37,9,4,304,0,0
Iced Hazelnut LaOe,Regular (16oz),186,2,9,23,107,23,0,19,5,2,213,0,63
,Large (24 oz),260,2,12,28,136,33,0,28,6,3,258,0,95
Sea Salt Iced Coﬀee,Regular (16oz),349,0,23,89,1366,30,0,26,1,1,48,0,32
,Large (24 oz),389,0,23,89,1368,40,0,35,1,1,52,0,46
Iced Spanish LaOe,Regular (16oz),203,22,8,29,118,26,0,25,7,2,200,0,56
,Large (24 oz),316,34,13,46,186,39,0,38,11,4,322,0,95
Iced Vanilla LaOe,Regular (16oz),256,2,11,35,159,32,0,30,8,4,314,0,63
,Large (24 oz),339,3,14,44,201,45,0,42,11,5,397,0,98
Hot Coﬀee,,,,,,,,,,,,,,
Café LaOe,Regular (16oz),186,3,10,39,154,16,0,14,9,4,354,0,70
,Large (24 oz),246,4,14,53,203,21,0,19,12,6,466,0,70
Café Mocha,Regular (16oz),316,3,13,39,211,43,1,38,10,4,348,0,46
,Large (24 oz),391,3,16,47,260,54,2,48,12,5,419,0,63
Caramel Macchiato,Regular (16oz),247,4,9,37,161,34,0,33,8,4,310,0,42
,Large (24 oz),340,6,12,46,207,51,0,48,11,5,389,0,63
Hazelnut LaOe,Regular (16oz),214,2,8,32,125,28,0,26,7,3,285,0,67
,Large (24 oz),296,3,11,42,167,40,0,37,10,4,382,0,95
Spanish LaOe,Regular (16oz),247,23,11,39,154,29,0,28,9,3,283,0,56
,Large (24 oz),347,34,14,53,211,42,0,40,13,4,379,0,84
Frosty Milk,,,,,,,,,,,,,,
#1 Honey Boba,Large (24 oz),418,1,7,20,94,83,0,55,5,2,169,0,0
#2 Honey Boba & Pudding,Large (24 oz),488,2,8,25,164,79,1,53,5,3,203,0,0
"#3 Strawberry, Pudding & Honey Boba",Large (24 oz),515,8,7,19,107,94,1,65,4,2,150,0,18
"#4 Caramel, Pudding & Honey Boba",Large (24 oz),555,5,7,23,151,103,1,73,5,2,150,0,0
"#5 Coﬀee Jelly, Espresso & Honey Boba",Large (24 oz),446,1,6,18,89,92,1,64,4,2,150,0,26
Cheese Foam,,,,,,,,,,,,,,
Cheese Foam Black Tea,Large (22 oz),265,0,14,55,838,32,0,30,1,0,25,0,0
Cheese Foam Jasmine Matcha,Large (22 oz),454,0,23,62,999,58,1,42,3,0,40,0,235
Cheese Foam Jasmine Tea,Large (22 oz),291,0,16,62,943,33,0,30,1,0,28,0,0
Cheese Foam Roasted Oolong Tea,Large (22 oz),228,0,11,45,159,29,0,30,0,0,0,0,0
Cheese Foam Rose Oolong Tea,Large (22 oz),323,0,17,69,1048,37,0,34,1,0,32,0,11
Tiramisu Foam Milk Tea,Large (22 oz),415,0,23,62,999,48,1,36,1,0,40,0,235
Cup Shaved Ice,,,,,,,,,,,,,,
Coﬀee Cup Shaved Ice,Large (24 oz),351,62,9,31,122,59,2,47,7,0,9,0,157
Fruit Cup Shaved Ice w/ Coﬀee Drizzle,Large (24 oz),382,73,20,35,123,65,4,50,6,0,128,0,187
Fruit Cup Shaved Ice w/ Strawberry Drizzle,Large (24 oz),364,73,10,35,112,63,4,48,6,0,128,0,187
Green Tea Cup Shaved Ice,Large (24 oz),337,50,8,31,91,60,2,47,7,0,56,0,82
Mango Cup Shaved Ice,Large (24 oz),351,43,9,31,121,63,1,52,5,0,119,0,125
Red Bean Cup Shaved Ice,Large (24 oz),328,47,9,31,118,55,2,44,6,0,92,0,82
Strawberry Cup Shaved Ice,Large (24 oz),323,45,10,35,134,52,1,47,6,0,124,0,54
Bowl Shaved Ice,,,,,,,,,,,,,,
Coﬀee Bowl Shaved Ice,Large (24 oz),531,72,12,40,166,95,4,75,10,0,9,0,292
Fruit Bowl Shaved Ice w/ Coﬀee Drizzle,Large (24 oz),469,81,21,39,139,83,4,66,8,0,92,0,330
Fruit Bowl Shaved Ice w/ Strawberry Drizzle,Large (24 oz),504,82,12,43,153,90,4,76,9,0,125,0,330
Green Tea Bowl Shaved Ice,Large (24 oz),438,64,8,30,98,86,5,61,9,0,59,0,328
Mango Bowl Shaved Ice,Large (24 oz),524,84,13,43,168,93,2,79,9,0,133,0,173
Red Bean Bowl Shaved Ice,Large (24 oz),438,46,28,30,150,79,4,59,7,0,92,0,261
Strawberry Bowl Shaved Ice,Large (24 oz),429,48,13,43,158,70,3,61,9,0,124,0,0
Tea Float,,,,,,,,,,,,,,
Jasmine Tea Float,Large (22 oz),445,2,21,84,975,58,0,54,3,0,82,0,0
Matcha Float,Large (22 oz),384,5,15,58,163,55,0,47,13,4,358,0,0
Rose Matcha Float,Large (22 oz),383,5,14,54,149,56,0,32,11,3,324,0,0
Thai Tea Float,Large (22 oz),491,0,16,71,62,71,3,73,2,0,218,0,0