Drink Name,Small Size Calories,Medium Size Calories,Big Size Calories
KF Black/Green/Oolong Tea ,0,0,0
Honey Lemonade ,66,,80
KF Honey Tea ,54,,65
Rosehip Lemonade ,93,,181
Winter Melon Tea ,38,,52
Sunshine Pineapple Tea ,191,,244
Longan Jujube Tea ,82,,122
Orange Green Tea ,66,,94
Winter Melon Green Tea ,38,,52
Grapefruit Green Tea ,52,,65
Honey Black/Green/Oolong Tea ,54,,65
Strawberry Lemonade ,129,,194
Brown Sugar Ginger ,,165,
Strawberry Lemon Green Tea ,126,,189
Boosted Strawberry Lemonade ,260,,290
Lychee Punch/Black Tea ,62,,83
Mango Green Tea ,75,,105
Passion Fruit Green Tea ,84,,105
Peach Oolong Tea ,,60,
White Grape Punch ,230,,310
Guava Punch/Black Tea ,182,,240
Sushine Grape-ade ,273,,370
Kiwi Punch ,188,,222
KF Milk Black/Green Tea ,173,,302
Chai MIlk ,80,,147
Oolong Milk Tea ,173,,302
Ginger Milk ,205,,370
Thai Milk Tea ,173,,302
Matcha Milk ,414,,552
Honey Milk Black/Green Tea ,230,,320
Sesame Matcha ,331,,410
Honey Oolong Milk Tea ,230,,320
Cocoa ,360,,490
Winter Melon Milk Green Tea ,159,,245
Almond Milk Tea ,117,,289
Red Bean Wow ,396,,667
Coconut Milk Tea ,370,,597
Herbal Jelly Wow ,332,,571
Coffee Milk Tea ,180,,310
Cocoa Cream/Original Wow ,316,,870
Taro Milk Black/Green Tea ,290,,410
Oreo Wow ,400,,584
Rosehip Milk Tea ,260,,340
Roasted Chestnut Milk Tea ,210,,380
Strawberry Milk Tea ,330,,460
Mango Milk Tea ,380,,530
Peach Milk Tea ,240,,340
Signature Coffee ,91,,138
Yogurt Green Tea ,100,,150
Caramel Macchiato ,162,,209
Yogurt Orange Juice ,140,,200
Coffee Latte ,84,,152
Yogurt Grapefruit Juice ,160,,250
Cappuccino ,84,,152
Italian Mocha ,151,,253
Coffee Wow Milk Cap ,520,,742
Caramel Macchiato ,290,,440
BT/GT/OT Wow Milk Cap ,688,,874
Coffee Slush ,180,,270
Pikmin Tropical Punch ,360,,400
Mocha Slush ,250,,400
Pikmin Tropical Slush ,410,,440
Matcha Red Bean Slush ,491,,738
Pistachio Milk Tea ,410,,660
Pineapple Slush ,320,,426
Pistachio Almond Slush ,510,,650
Red Bean Slush ,370,,550
Pistachio Latte ,290,,460
Pina Colada ,503,,664
Spirit's Spooky Slush ,630,,810
Passion Fruit Slush ,180,,250
Espresso Thai Tea ,310,,600
Mango Slush ,270,,380
Toffee Thai Tea ,370,,690
Mango Snow ,400,,550
Mangonada ,250,,430
Oreo Slush ,480,,620
Malted Milk Tea ,350,,690
Strawberry Milk Slush ,360,,530
Malted Milk Green Tea ,350,,690
Taro Slush ,400,,480
Malted Oolong Milk Tea ,350,,690
Carribean Breeze ,327,,419
Malted Thai Milk Tea ,350,,690
Blueberry Lemon Slush ,179,,225
Malted Cocoa Bliss ,380,,710
Blueberry Creamsicle ,352,,483
S'more Slush ,580,,720
S'more Coffee Slush ,580,,720
White Grape Slush ,180,,230
Kiwi Yogurt Slush ,264,,372
Cocoa Lava Slush ,681,,805
Honey Guava Slush ,212,,279
Fruity Flurry ,330,,453
Passion Fruit Swirl ,514,,682
Roasted Chestnut Slush ,320,,430
Boosted Guava & Mango Slush ,,350,
,,,
,,,